"concept","cuis","rep_cuis","excluded_cuis","cc"
"demographic characteristics mean sd unless otherwise stated","C0444504;C0683970;C1301808;C1442792;C2347634;C2348143;C2699239",NULL,NULL,583
"atorvastatin monotherapy n $nmbr$","C0286651","C0286651","",885
"fastng plasma glucose median","C0202042;C0455280;C0549183;C0876920;C2347635;C2348144;C2939193",NULL,NULL,1896
"history of coronary artery disease","C1881055",NULL,NULL,786
"minor bleed","C0019080;C0026193;C0205165",NULL,NULL,1474
"tg mg dl median sd","C0337445;C0439269;C0549183;C0876920;C2347635;C2348144;C2699239;C2939193","C0041004","",368
"age years sd","C1510829;C2699239","C1510829","",481
"centrilobular emphysema","C0221227",NULL,NULL,1672
"baseline of induction","C0168634;C0205263;C0857127;C1442488",NULL,NULL,625
"any thiazolidinedione","C0289779;C1257987;C3537039","C1257987",";C0289779;C1527178;C1705938;C1552866;C2700399;C0168634",72
"statins ezetimibe","C0360714;C1142985","C0360714;C1142985","",1862
"duration of diabetes mellitus","C0011849;C0449238;C2926735","C0011849",";C1704656;C3687832;C1705970;C4285062;C1079230;C0449450;C3250443;C0021966;C0221138;C0369718;C0441922;C0684224",909
"octave induction $nmbr$ and $nmbr$","C0205263;C0857127",NULL,NULL,158
"baseline pava","C0135567;C0168634;C1442488",NULL,NULL,625
"aspirin group","C0004057;C0441833;C0687744;C1257890;C1519504;C1705428;C1705429","C0004057","",1366
"crp mg dl","C0439269;C3890735;C4048285","C0006560","",286
"hba $nmbr$ ca mean sd","C0019016;C0444504;C1825777;C2347634;C2348143;C2699239;C3538758;C3887642",NULL,NULL,37
"clean n a","C1947930",NULL,NULL,37
"no in trial stroke n $nmbr$ $nmbr$","C0008976;C0038454;C0150312;C0332285;C1707101;C4554100",NULL,NULL,1020
"participants taking insulin","C0021641;C0679646;C1515187;C1533581;C1579433;C3714501",NULL,NULL,157
"treated for hypertension","C0020538;C1522326;C1963138","C0020538","",1364
"angiographic data","C0002978;C1511726;C3245479;C3714741","C1511726;C0002978","",2231
"diabetes duration years mean sd","C0011847;C0011849;C0439234;C0444504;C0449238;C2347634;C2348143;C2699239;C2926735","C0011849",";C1704656;C3687832;C1705970;C4285062;C1079230;C0449450;C3250443;C0021966;C0221138;C0369718;C0441922;C0684224",909
"postmenopausal and current ht","C0018510;C0232970;C0521116;C0677607;C1705970","C0282402","",1043
"b i","C0021966;C0221138",NULL,NULL,1021
"cat total score","C0007450;C0325090;C0524517;C1443200;C2964552;C3665481;C4050461;C4284282",NULL,NULL,255
"ldl c hdl c ratio mean sd","C0428621;C0444504;C2347634;C2348143;C2699239","C0023824","",1068
"iii fev $nmbr$ $nmbr$ $nmbr$ predicted","C0439070;C0681842;C1705160;C1882327;C3714541",NULL,NULL,1599
"baseline dbp mean sd mm hg","C0168634;C0439475;C0444504;C0536221;C1442488;C2347634;C2348143;C2699239;C3813197;C4281799",NULL,NULL,605
"measurements","C0242485",NULL,NULL,490
"time from parkinson s disease diagnosis in months mean sd","C0011900;C0030567;C0040223;C0439231;C0444504;C1704338;C1704656;C2347634;C2348143;C2699239;C3541383",NULL,NULL,1287
"myocardial infarction at presentation n $nmbr$","C0027051;C0428953;C0449450;C2926063;C3810814;C4552959",NULL,NULL,646
"baseline cdai mean sd","C0168634;C0444504;C0683448;C1413248;C1442488;C2347634;C2348143;C2699239;C3273706",NULL,NULL,697
"ejection fraction percent sd","C0439165;C0489482;C2699239;C2700378","C2700378","",887
"ls mean change from baseline ml se a","C0023668;C0036919;C0168634;C0392747;C0439526;C0443172;C0444504;C1442488;C1705224;C1705241;C2347634;C2348143;C3887665;C4319952",NULL,NULL,567
"aspirin antiplatelet medication","C0004057;C0013227;C0085826;C3244316;C4284232","","",1191
"raas inhibitor use","C0042153;C0457083;C1947944;C1999216",NULL,NULL,812
"intention to treat without st segment elevation myocardial infarction","C0040363;C0041260;C0087111;C0162425;C1283828;C1292734;C1522326;C1536220;C1883351",NULL,NULL,431
"hdl cholesterol mmol l men mean sd","C0023822;C0025266;C0392885;C0444504;C1532563;C2347634;C2348143;C2699239","C0023822","",821
"final timi flow grade $nmbr$","C0205088;C0441800;C0919553;C1546485;C3244287;C3272266;C3853528",NULL,NULL,531
"fvc $nmbr$ predicted","C0681842;C1882327;C3714541",NULL,NULL,1599
"baseline prednisone or oral prednisone equivalent daily dose","C0032952;C0168634;C0205163;C0439185;C0442027;C1442488;C2348070;C4521986",NULL,NULL,1746
"diabetes","C0011847;C0011849","C0011849",";C1704656;C3687832;C1705970;C4285062;C1079230;C0449450;C3250443;C0021966;C0221138;C0369718;C0441922;C0684224",909
"itt population n","C0032659;C1257890",NULL,NULL,900
"egfrmdrd ml min $nmbr$ $nmbr$ m $nmbr$ bsa","C0369637;C0439445;C0441923","C3811844;C0017654","",592
"event rate per $nmbr$","C0441471;C0871208;C1521828;C4019010",NULL,NULL,2007
"patients with no prior cvd primary","C0007222;C0030705;C0205225;C0332152;C0439612;C0439631;C2826257","C0007222","",1790
"haq di number","C0237753;C0449788;C3826998;C4321476",NULL,NULL,1665
"$nmbr$ vessels or left main","C0005847;C0205091;C0205225;C0443246;C1542147;C1552822",NULL,NULL,743
"brv overalla n $nmbr$","C0155502",NULL,NULL,1743
"prior history of mi or ischaemic stroke","C0019664;C0019665;C0262512;C0262926;C0332152;C0948008;C1705255;C2004062;C2826257;C3810814",NULL,NULL,516
"body mass index $","C0005893;C0578022;C1305855","C1305855","",1734
"vorapaxar placebo $nmbr$ yr km rate","C0032042;C0439234;C0871208;C1521828;C1696465;C1706408;C2974521;C3887676",NULL,NULL,1099
"mean sd of predicted normal fev $nmbr$","C0444504;C0520835;C0681842;C1882327;C2347634;C2348143;C2699239","C0024119","",288
"egfr and albuminuria","C0001925;C1739039;C3811844;C3812682","C3811844;C0017654","",592
"poor tried previous glucocorticoid non laba","C0017710;C0032854;C0205156;C0542537;C1518422;C1552607;C2700379","C3540778","",2182
"total cataract extraction","C0007389;C0185115;C0439175;C0439810;C0684295;C3665439",";C0086543","",1290
"ngml total mean ipss score","C0439175;C0439810;C0444504;C1019118;C1998280;C2347634;C2348143;C2827405;C2964552;C3533236;C3811063","C1998280",";C1019118;C3811063;C4050465;C4050466;C4049706;C0168634;C1705273;C1880519;C3853603",124
"aspirin use","C0004057;C0042153;C0457083;C1947944","C0004057","",1366
"non white","C0007457;C0043157;C0220938;C1518422","C0034510;C1518422;C0043157","",1401
"ics use at screening","C0042153;C0220908;C0220909;C0457083;C0815320;C1698960;C1710031;C1710032;C1710477;C1947944;C2348164;C4551720","C3540778","",2182
"ramus","C3538818",NULL,NULL,2013
"patients with event n","C0030705;C0441471;C4019010",NULL,NULL,1035
"pressure mm hg","C0033095;C0439475;C0460139;C1306345;C4284008","C0439475","",2239
"patients receiving lcz no","C0030705;C1514756",NULL,NULL,964
"copd exacerbation no","C0740304","C0740304","",891
"$nmbr$ ml min $nmbr$ $nmbr$ m $nmbr$","C0369637;C0439445;C0441923","C3811844;C0017654","",307
"cv risk factor no","C0035648;C3538987;C4048877;C4318503",NULL,NULL,1777
"non hdlc concentration","C0086045;C1446561;C1518422;C1704429;C3827302","C0023822","",821
"ascot lla","C0718674",NULL,NULL,1266
"symptom onset to start of reperfusion treatment tenecteplase or arterial sheath insertion","C0003842;C0021107;C0035124;C0039798;C0040363;C0041260;C0087111;C0221464;C0227952;C0439659;C0441587;C0684253;C0872913;C1512796;C1522326;C1533734;C1705169;C1883351;C1883719;C3538994;C3887704;C4086878","C0872913","",417
"history of osteoporotic fracture n a","C4075937",NULL,NULL,1494
"no beta blocker","C0001645","C0001645","",959
"$nmbr$ prior tnf antagonist failure n b","C0231174;C0231491;C0332152;C0680095;C2826257;C3887647",NULL,NULL,2372
"observed","C1441672",NULL,NULL,115
"middle east africa or asia pacific","C0001737;C0001741;C0003980;C0026068;C0444598;C0549183;C1552826",NULL,NULL,48
"extracranial carotid stenosis n","C0007282;C0580586","C0007282","",2196
"comorbidity no","C0009488",NULL,NULL,765
"ns cardiac cisease","C0018787;C0038944;C1112705;C1522601;C1705982",NULL,NULL,129
"use of oral glucocorticoids","C0017710;C0442027;C1524063;C3540777;C3540778;C4521986","C0017710","",1348
"in patients with a history of chronic angina who have presented with an acute","C0002962;C0205178;C0205191;C0449450;C0679831",NULL,NULL,1701
"never rarely","C0522498;C2003901",NULL,NULL,547
"ii $nmbr$ i $nmbr$ $nmbr$","C0021966;C0221138;C1710602;C4082587",NULL,NULL,523
"$nmbr$ yrs or more","C0205172",NULL,NULL,1539
"open","C0175566",NULL,NULL,1322
"median iqr h","C0033727;C0369286;C0441932;C0549183;C0564385;C0876920;C2347635;C2348144;C2939193;C4528284",NULL,NULL,635
"asthma symptoms in the past $nmbr$ weeks","C0004096;C0683368;C1457887;C2984299;C2987125",NULL,NULL,613
"associated with corrected","C0205202;C0332281",NULL,NULL,876
"sd standard deviation bmi body mass index ed erectile","C0030847;C0871420;C1305855;C2699239;C3538926",NULL,NULL,411
"c $nmbr$ e $nmbr$ fab bolus","C1186706;C1511237;C1705509;C3812160",NULL,NULL,632
"randomized to canakinumab $nmbr$ mg","C0024671;C0026410;C0034656;C0040363;C0041260;C0439269;C1883351;C1960952;C2346927;C2718773;C3815594;C4321396;C4521761",NULL,NULL,192
"lumbar","C0024090",NULL,NULL,1558
"immobilization no","C0020944;C4048292",NULL,NULL,1707
"previous ml or abnormal angiogram","C0002978;C0205156;C0205161;C0439526;C1548816;C1552607;C1705224;C2347472;C2699333;C3887665;C3891555;C4255126",NULL,NULL,686
"sites","C0205145",NULL,NULL,1193
"amiodarone use at baseline yes $nmbr$ $nmbr$","C0002598;C0042153;C0168634;C0457083;C1442488;C1549445;C1705108;C1710701;C1947944",NULL,NULL,147
"baseline ste in worst lead mm","C0023175;C0168634;C0181586;C1420459;C1442488;C1442948;C1522166;C1522538;C2348269;C3275067;C3811127;C4330985;C4554674",NULL,NULL,297
"placebo symptom days a week","C0032042;C0332174;C0439228;C0439230;C1457887;C1696465;C1706408;C3854129",NULL,NULL,613
"prevalent cvd","C0007222;C0033105;C0220900",NULL,NULL,721
"baseline egfr ml min per $nmbr$ $nmbr$ m","C0168634;C0369637;C0439445;C0441923;C1442488;C1739039;C3811844;C3812682","C3811844;C0017654","",592
"difference in ls means $nmbr$ ci $nmbr$","C0008107;C0023668;C1704970;C1705241;C1705242;C3259781",NULL,NULL,519
"lsm $nmbr$ ci","C0008107;C3259781",NULL,NULL,519
"qol","C0518214","C0034380","",1116
"ecg changes t","C0392747;C0443172;C1623258;C1705241;C2603360;C4319952",NULL,NULL,767
"placebo group n $nmbr$ j","C0032042;C0441844;C1696465;C1706408","C0032042","",28
"beta blockers","C0001645","C0001645","",959
"aspirin and thienopyridine therapy","C0004057;C0039798;C0087111;C1120149;C1363945","C1120149",";C0039798;C0087111;C1363945;C1709561;C1947944",73
"unadjusted hr $nmbr$ ci a","C0008107;C1439367;C3259781",NULL,NULL,1581
"total body without head","C0018670;C0229960;C1706305",NULL,NULL,1685
"ml with st segment elevation","C0439526;C0520886;C1705224;C3887665","C3810814","",894
"alogliptin","C1958126","C1958126","",1183
"no smo king","C1311076;C1364142;C1423784","C0037369","",420
"tiotropium $nmbr$ mg n $nmbr$","C0024671;C0026410;C0213771;C0439269;C1960952;C2346927;C4321396;C4521761",NULL,NULL,2300
"mental component summary","C0229992;C0449432;C1552616;C1705248;C1706244",NULL,NULL,350
"total hipc","C0439175;C0439810",NULL,NULL,508
"sample statistics","C2348149",NULL,NULL,181
"oad plus insulin","C0021641;C1533581;C1579433;C3714501",NULL,NULL,157
"corticosteroid or azathioprine $nmbr$ mercaptopurine","C0000618;C0001617;C0004482;C3536709",NULL,NULL,56
"mean age years s d","C0444504;C1510829;C2347634;C2348143","C1510829","",481
"left main disease n","C0012634;C0205091;C0205225;C0443246;C1542147;C1552822",NULL,NULL,42
"treatment period index dvt event","C0039798;C0087111;C0149871;C0439531;C0441471;C0600653;C0918012;C1522326;C1533734;C1552854;C1637833;C1705169;C1948053;C2926618;C2986546;C3538994;C3887704;C3899446;C4019010","C0149871","",252
"crp mg dl median","C0439269;C0549183;C0876920;C2347635;C2348144;C2939193;C3890735;C4048285","C0006560","",286
"canrenone n z $nmbr$","C0006882",NULL,NULL,1759
"mean arterial pressure baseline","C0168634;C0428886;C1442488",NULL,NULL,625
"sex male n","C0086582","C0086582","",1276
"gastrointestinal bleeding","C0017181",NULL,NULL,782
"tnf failurea","C1448177",NULL,NULL,362
"a $nmbr$ $nmbr$ n $nmbr$","C0369718;C0441922",NULL,NULL,1553
"post bronchodilator fevx l","C2599594",NULL,NULL,680
"$nmbr$ or $nmbr$ d mo","C0026544;C0073187;C0332173;C0332177;C4484261",NULL,NULL,1476
"candesartan $nmbr$ $nmbr$","C0717550","","",1208
"australia and new zealand","C0004340;C0027978;C0324547","C0027978",";C0324547",189
"younger subjects aged $nmbr$ years","C0001779;C0001792;C0332239;C0439234;C0681850;C1550501;C1706203;C1999167;C2349001;C2697811",NULL,NULL,148
"baseline upgr mg mmole n $nmbr$ $nmbr$ $nmbr$","C0168634;C0567349;C1442488;C2348885",NULL,NULL,625
"median q $nmbr$ q $nmbr$","C0549183;C0876920;C2347635;C2348144;C2939193",NULL,NULL,635
"methotrexate alone","C0025677;C0205171;C0439044;C0679994","C0025677","",716
"type of des at index procedure","C0011702;C0184661;C0332307;C0600653;C0918012;C1547052;C1552854;C1637833;C2700391;C2986546;C3274430;C3539779;C4551552",NULL,NULL,603
"op concomitant medications","C0013227;C0521115;C0802604;C2598133;C4284232",NULL,NULL,366
"egfr from the mdrd equation sd ml min $nmbr$ $nmbr$ $nmbr$ m $nmbr$","C0369637;C0439445;C0441923;C0552449;C1739039;C2699239;C3811844;C3812682;C3839656","C3811844;C0017654","",592
"$nmbr$ months mean sd","C0439231;C0444504;C2347634;C2348143;C2699239",NULL,NULL,37
"percent overall work impairment due to asthma","C0004096;C0043227;C0221099;C0282416;C0439165;C0678226;C0684336;C1561607;C2984299",NULL,NULL,694
"crp mg dl per unit","C0024671;C0026410;C0439148;C0439269;C0439453;C1509845;C1519795;C1532632;C1638407;C1704753;C1880519;C1960952;C2346927;C3642216;C3853603;C3890735;C4048285;C4321396;C4521761","C0006560","",286
"infarction yr history of congestive heart failure","C0021308;C0439234;C0455531;C0742742","C0018801",";C0168634;C1524003",12
"hemoglobin a c","C0019020;C3889898","","",1176
"ace inhibitors arb","C0003015;C3888198",NULL,NULL,44
"lue for interaction","C1704675",NULL,NULL,888
"duration of disease y","C0872146","C0449238;C0872146","",903
"current cigarette use","C0521116;C0694535;C1705970","C0037369","",420
"continued thienopyridine n $nmbr$ subjects","C0549178;C0681850;C1120149;C1550501;C1706203;C2349001;C2697811",NULL,NULL,1561
"aminosalicylates","C0368663","C0368663","",1691
"non tiotropium","C0213771;C1518422","C0213771","",1372
"south africa south america","C0001737;C0002454;C0037712;C0037713","C0037713","",580
"time since diagnosis of diabetes n","C0011847;C0011849;C0011900;C0040223;C1704338;C1704656;C3541383","C0011849",";C1704656;C3687832;C1705970;C4285062;C1079230;C0449450;C3250443;C0021966;C0221138;C0369718;C0441922;C0684224",909
"data are presented as mean sd n $nmbr$ for ldl cholesterol n $nmbr$ for ldl cholesterol signi cantly different from baseline values by repeated measures analysis of variance p $nmbr$ $nmbr$ signi cantly different from baseline values by repeated measures analysis of variance p $nmbr$ $nmbr$ signi cantly different from baseline values by repeated measures analysis of variance p $nmbr$ $nmbr$","C0002778;C0002780;C0023824;C0042295;C0168634;C0202117;C0369718;C0441922;C0444504;C0449450;C0565965;C0871881;C0936012;C1442488;C1511726;C1524024;C1705242;C1711260;C2347634;C2348143;C2348152;C2699239;C3245479;C3714741","","",-10
"no ics","C0815320;C4551720","C3540778","",2182
"hdl male","C0086582;C1706180;C1706428;C1706429;C3715113","C0023822","",821
"topical prescription","C0033080;C0332237;C1521941",NULL,NULL,1125
"after bronchodilation","C1371299;C3537072",NULL,NULL,681
"$nmbr$ $nmbr$ mmol l","C1532563",NULL,NULL,670
"eosinoohil count","C0750480;C1705566","C0014467","",849
"combined fatal nonfatal outcomes","C0205195;C0206277",NULL,NULL,997
"chads score n","C0007928;C0369718;C0441922;C0449820;C1413373;C4050231","","",2128
"no concomitant immunosuppressive and or prior anti tnf use","C0021081;C0042153;C0332152;C0457083;C0521115;C1448177;C1947944;C2826257","C0021081","",1424
"history of tnf antagonist treatment failure no","C0019664;C0019665;C0162643;C0231491;C0235828;C0262512;C0262926;C0521983;C1448177;C1547544;C1705255;C2004062",NULL,NULL,362
"initial heparin treatment duration on or after randomization","C0019134;C0034656;C0205265;C0444921;C0770546;C1279901;C1555582;C1705685;C3259042","C0019134","",863
"history of ischemic stroke","C0019664;C0019665;C0262512;C0262926;C0948008;C1705255;C2004062",NULL,NULL,832
"no of patients total no","C0030705;C0439175;C0439810",NULL,NULL,508
"noncardiovascular death","C0011065;C1306577;C4082313;C4552775",NULL,NULL,645
"diet and exercise","C0012155;C0012159;C0015259;C1519433;C1522704;C2983588;C3668949","C0012155","",1199
"nyha class not reported","C0684224;C0700287;C1518422;C1882083;C4319718","C0018802;C1882083","",453
"copd placebo n $nmbr$","C0024117;C0032042;C1412502;C1696465;C1706408;C3714496","C0032042","",28
"la grade a n f","C0016327;C0023031;C0023749;C0230347;C0369718;C0441800;C0441922;C0919553;C2346906;C3244287;C4553351",NULL,NULL,683
"fluindione no","C0117899",NULL,NULL,88
"sex women men","C0009253;C0025266;C0036864;C0043210;C0079399;C0804628;C1314687;C1522384","","",306
"tender joint count $nmbr$ $nmbr$ joints mean sd","C0444504;C0451530;C2347634;C2348143;C2699239","C0451530","",1139
"previous bowel resection performed no of patients","C0030705;C0205156;C0741614;C0884358;C1552607",NULL,NULL,1035
"anti hypertensive","C0003364",";C0003364","",1579
"necrotic core","C0027540;C0444669;C1167518;C1706352;C1882467;C3274653",NULL,NULL,1548
"mean change from baseline","C0168634;C0392747;C0443172;C0444504;C1442488;C1705241;C2347634;C2348143;C4319952",NULL,NULL,625
"positive stress test","C0015260;C0439178;C1446409;C1514241;C2825490;C3494508;C3812269",NULL,NULL,1163
"fev $nmbr$ mean l","C0444504;C2347634;C2348143;C3714541",NULL,NULL,1599
"mean sd age","C0001779;C0444504;C2347634;C2348143;C2699239",NULL,NULL,37
"untreated","C0332155",NULL,NULL,551
"dyslipidaemia and hypertension n","C0020538;C0242339;C1963138","C0242339","",1770
"outcome n","C1274040",NULL,NULL,1602
"peripheral arterial disease","C0085096;C1704436","C0085096","",933
"body mass index no $","C0005893;C0578022;C1305855","C1305855","",1734
"fev $nmbr$ predicted at baseline","C0168634;C0681842;C1442488;C1882327;C3714541",NULL,NULL,1599
"quality of life","C0034380;C0518214","C0034380","",1116
"biomarker high periostin $nmbr$ ng ml or blood eosinophils $nmbr$ cells per pl na","C0005516;C0005773;C0007584;C0007634;C0014467;C0200638;C0205250;C0219433;C0439275;C0597484;C1272460;C1299351;C1424662;C1546968;C1879645;C2700149;C3812270;C3887512;C3889660;C3897966;C4049765;C4049872;C4321237;C4522209;C4552882",NULL,NULL,834
